District,Representative,Party,Prior experience,Education,Assumed office,Residence,Born
Maine 1,"Pingree, ChellieChellie Pingree",,Democratic,"Majority Leader Maine State Senate, President Common Cause",College of the Atlantic,2009,North Haven,1955
Maine 2,"Poliquin, BruceBruce Poliquin",,Republican,Maine State Treasurer,Harvard University,2015,Waterville,1953
Maryland 1,"Harris, AndyAndy Harris",,Republican,"Maryland State Senate, Anesthesiologist",Johns Hopkins University,2011,Cockeysville,1957
Maryland 2,"Ruppersberger, DutchDutch Ruppersberger",,Democratic,Baltimore County Executive; Chief of the Office of Investigative Division for Maryland's Department of Justice; Baltimore County Assistant State's Attorney,"University of Maryland
 University of Baltimore",2003,Baltimore,1946
Maryland 3,"Sarbanes, JohnJohn Sarbanes",,Democratic,"Attorney, Law Clerk","Princeton University
 Harvard Law School",2007,Towson,1962
Maryland 4,"Brown, Anthony G.Anthony G. Brown",,Democratic,"Lieutenant Governor of Maryland, Maryland House of Delegates",Harvard University,2017,Lanham,1961
Maryland 5,"Hoyer, StenySteny Hoyer",,Democratic,"Current House Minority Whip
 President of the Maryland State Senate, Maryland Board of Higher Education","University of Maryland
 Georgetown University",1981*,Mechanicsville,1939
Maryland 6,"Delaney, JohnJohn Delaney",,Democratic,Businessman,"Columbia University
 Georgetown University Law Center",2013,"Hagerstown, Frederick",1963
Maryland 7,"Cummings, ElijahElijah Cummings",,Democratic,Speaker pro tempore of the Maryland House of Delegates,"Howard University
 University of Maryland",1996*,Baltimore,1951
Maryland 8,"Raskin, JamieJamie Raskin",,Democratic,Maryland State Senate Majority Whip,"Harvard University
 Harvard Law School",2017,Takoma Park,1962
Massachusetts 1,"Neal, RichardRichard Neal",,Democratic,Mayor of Springfield,"American International College
 University of Hartford",1989,Springfield,1949
Massachusetts 2,"McGovern, JimJim McGovern",,Democratic,Congressional staff member,American University,1997,Worcester,1959
